K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,,,
20-67-32,18-2-61,4.27032,5.22467,0,8.97389,1,0.52111,,,,,
2018/2/22,6-49-22,5.0735,5.56303,1.10058,9.01429,1,0.52166,,,,,
20-67-49-2,49-28-21-20,5.29561,7.90085,2.47471,10.19638,1,0.52537,,,,,
49-33-93-21,48-28-49-2,7.28402,6.72412,1.23699,12.24552,1,0.52562,,,,,
37-67-18,22-21-49,4.75374,6.23456,0,10.46074,1,0.52757,,,,,
49-33-6,93-67-37,5.49487,3.8349,0,8.80191,1,0.52786,,,,,
67-61-15-33-22,37-1-20-6-28,5.71919,26.33263,0,31.52261,1,0.52921,,,,,
67-20-21,67-33-37,6.33954,3.84414,1.1006,8.54794,1,0.53514,,,,,
33-37-18,8-6-76,4.68744,6.04017,0,10.19168,1,0.53593,,,,,
48-33-6,28-18-2,6.3019,5.51169,0,11.27721,1,0.53638,,,,,
22-48-6-33,48-33-37-15,7.40466,5.96461,2.99515,9.83717,1,0.53695,,,,,
2015/2/1,2-37-18,24.84327,5.51105,2.02192,27.79513,1,0.53727,,,,,
76-18-28-61-37,8-21-61-15-93,7.39369,9.17704,1.21276,14.81838,1,0.53959,,,,,
22-37-33,1993/8/6,3.84955,6.06253,0,9.37233,1,0.53976,,,,,
67-20-49-37,2-76-28-61,5.23431,5.82128,0,10.51225,1,0.54334,,,,,
33-2-76,76-49-6,4.14081,5.46864,1.06722,7.99434,1,0.54789,,,,,
2-37-20-49,37-32-21-67,5.69723,7.63909,1.70746,11.07968,1,0.54918,,,,,
21-76-49,18-67-37,6.25805,4.76255,0,10.46539,1,0.55521,,,,,
2-33-48-93,49-18-8-6,6.0498,8.12601,0,13.61726,1,0.55855,,,,,
18-6-15-2-21,49-32-20-21-61,10.25869,8.83401,4.07661,14.45752,1,0.55857,,,,,
2-61-37-21,32-28-2-49,7.81703,6.49901,2.02676,11.72846,1,0.56083,,,,,
32-61-2-8,76-21-8-2,6.76002,8.317,3.83536,10.67777,1,0.56389,,,,,
22-20-48-8-2,61-28-93-6-8,7.85447,8.60253,1.85136,14.03189,1,0.57375,,,,,
48-67-61-28,37-22-33-1,5.02935,25.89543,0,30.3448,1,0.57997,,,,,
20-22-37,93-6-33,4.027,5.38608,0,8.83133,1,0.58175,,,,,
37-20-28,48-21-33,4.46681,7.04349,0,10.9266,1,0.5837,,,,,
49-93-18-2-20,76-49-67-8-21,7.17572,9.06867,1.237,14.42023,1,0.58716,,,,,
37-15-20-18,18-15-33-6,6.13718,7.57505,3.22077,9.90067,1,0.59079,,,,,
22-8-15-6,20-18-15-2,7.38847,6.19982,1.26934,11.72235,1,0.59661,,,,,
20-61-15-67,93-28-2-6,4.81711,7.36782,0,11.58561,1,0.59932,,,,,
2-76-20-67,48-67-21-93,5.16119,7.37274,1.10055,10.83075,1,0.60262,,,,,
37-28-49-33-93,28-18-21-15-93,6.51532,9.81909,2.56928,13.16229,1,0.60284,,,,,
37-21-28-22,22-2-76-28,7.79502,5.73981,2.63747,10.29327,1,0.60409,,,,,
93-48-21-15-20,48-15-37-33-61,9.4724,7.1548,3.23391,12.78918,1,0.60411,,,,,
2-18-49,8-21-61,5.18132,6.91553,0,11.49046,1,0.60639,,,,,
76-2-67-20-32,22-2-6-37-93,6.88272,8.08818,2.02293,12.34016,1,0.60781,,,,,
37-48-67-61-33,76-67-48-21-22,6.21864,8.41248,2.30206,11.71773,1,0.61133,,,,,
15-32-20,20-67-21,4.42518,6.33727,1.23716,8.91182,1,0.61347,,,,,
2-67-76-61-20,20-76-6-61-32,6.35323,7.83859,3.46438,10.11208,1,0.61536,,,,,
6-61-18-32,28-33-15-37,7.61084,5.54184,0,12.53577,1,0.61691,,,,,
28-93-32,49-18-6,4.5081,6.41893,0,10.30955,1,0.61748,,,,,
22-37-33,21-15-61,3.84837,6.43669,0,9.66239,1,0.62267,,,,,
21-18-61-2,93-15-37-48,8.65443,5.95973,0,13.99149,1,0.62267,,,,,
2-20-15,6-37-48,4.24798,6.44318,0,10.0614,1,0.62976,,,,,
49-20-21,28-15-32,6.39056,4.73859,0,10.4935,1,0.63565,,,,,
61-21-6,37-61-67,6.71847,3.99713,1.21455,8.86232,1,0.63873,,,,,
32-67-28,6-8-93,4.5567,6.06924,0,9.98699,1,0.63895,,,,,
18-32-33-48-67,49-21-48-67-37,7.19877,8.6631,2.30095,12.92024,1,0.64067,,,,,
76-21-49,22-37-15,6.26274,4.07522,0,9.69706,1,0.64089,,,,,
8-48-21,49-15-37,7.72426,4.18077,0,11.26063,1,0.64441,,,,,
61-21-8,32-20-61,6.90775,4.34581,1.21336,9.39539,1,0.64482,,,,,
15-20-37-18,6-8-32-33,6.13563,7.40213,0,12.88987,1,0.64789,,,,,
22-37-49-20,32-6-20-28,5.23625,7.35545,1.2376,10.70599,1,0.64812,,,,,
8-21-67,18-15-32,6.89137,5.16545,0,11.40869,1,0.64813,,,,,
8-28-48-20-32,93-48-8-21-49,8.44856,9.90658,3.81583,13.88993,1,0.64937,,,,,
8-61-21-15-33,33-20-2-22-15,9.18611,6.38178,2.30059,12.61721,1,0.65008,,,,,
49-61-6-93-28,48-37-67-20-18,8.03593,7.18399,0,14.56425,1,0.65567,,,,,
18-49-21,32-20-15,7.1751,4.42075,0,10.9381,1,0.65776,,,,,
37-20-48-33-8,22-49-20-33-21,7.72524,8.45631,2.2686,13.25492,1,0.65803,,,,,
8-28-37,15-22-21,5.05044,6.3485,0,10.73789,1,0.66105,,,,,
28-32-20-76,61-76-28-21,5.75551,7.73498,2.60608,10.2179,1,0.6665,,,,,
67-21-33,93-32-49,6.19203,4.18599,0,9.70933,1,0.66869,,,,,
28-6-22-48-18,18-20-49-28-37,9.85239,7.61962,3.4883,13.3138,1,0.66991,,,,,
18-28-2-49,48-8-32-21,6.71003,9.03792,0,15.07584,1,0.67211,,,,,
32-67-20-15,6-93-28-67,5.53189,6.93708,1.10082,10.69531,1,0.67284,,,,,
2-93-61,76-21-18,4.30441,7.0623,0,10.69197,1,0.67474,,,,,
22-33-61-21,67-32-18-20,7.27349,6.21248,0,12.81033,1,0.67564,,,,,
2-37-67-49,20-28-33-32,5.84894,5.7246,0,10.89518,1,0.67836,,,,,
6-18-28-61-48,32-22-49-48-93,9.75848,7.2223,1.96566,14.33489,1,0.68024,,,,,
2-48-33-6-18,22-15-6-1-61,9.75917,26.87953,3.32068,32.63672,1,0.68131,,,,,
49-15-6-61-22,18-28-32-76-15,7.82515,7.74967,1.26883,13.62456,1,0.68143,,,,,
37-8-49-21,61-8-15-2,8.09293,6.32943,1.85089,11.88947,1,0.682,,,,,
49-21-2-18,22-33-37-48,8.66123,5.80218,0,13.78116,1,0.68226,,,,,
28-48-2,2021/8/6,5.50734,7.38574,0,12.2097,1,0.68338,,,,,
48-32-18-20,21-61-76-49,7.05759,7.34477,0,13.71622,1,0.68614,,,,,
21-67-33-8,32-20-22-8,7.91006,6.06955,1.8505,11.4422,1,0.6869,,,,,
67-22-21-18,32-15-76-20,8.14634,5.48215,0,12.9397,1,0.68879,,,,,
93-37-8,1967/2/21,4.54574,6.66081,0,10.51719,1,0.68936,,,,,
2-61-18-48-6,15-93-48-28-32,9.72193,7.7003,1.96607,14.76512,1,0.69104,,,,,
61-2-49-28-76,61-6-21-49-48,7.02448,9.77117,2.4456,13.65684,1,0.6932,,,,,
49-67-48-21,18-49-22-32,7.50872,6.21332,1.23676,11.79013,1,0.69514,,,,,
49-15-48-93-32,33-76-18-61-6,7.38446,8.30842,0,14.99356,1,0.69931,,,,,
8-76-37-18-28,18-21-33-22-67,8.05638,9.17809,1.95136,14.58049,1,0.70261,,,,,
22-48-32,21-8-33,4.9909,6.80845,0,11.09124,1,0.70811,,,,,
20-1-61,61-33-37,24.07193,3.93124,1.21594,26.07693,1,0.7103,,,,,
1-48-21-22,18-21-6-61,27.29152,8.65999,4.07569,31.16463,1,0.71119,,,,,
32-76-67-1-61,32-15-18-37-22,26.14658,7.77734,1.94385,31.26841,1,0.71166,,,,,
37-21-61-93-18,61-76-22-32-33,9.35715,6.27741,1.21688,13.70563,1,0.71205,,,,,
48-33-6,22-32-8,6.29695,4.8556,0,10.4382,1,0.71435,,,,,
93-32-8,2028/6/20,4.7791,6.02532,0,10.08569,1,0.71874,,,,,
76-20-21-67,32-33-18-61,7.39384,6.11347,0,12.78765,1,0.71966,,,,,
37-22-76,22-21-6,3.8678,6.7326,1.10033,8.78001,1,0.72006,,,,,
8-20-28-18-32,20-6-76-18-15,8.45176,8.71009,3.18752,13.2516,1,0.72272,,,,,
15-33-6-76-48,48-49-8-37-33,8.56591,7.71858,2.99548,12.56216,1,0.72684,,,,,
67-6-76-20-2,93-22-61-37-76,7.82294,6.04745,1.06863,12.07488,1,0.72688,,,,,
18-37-61,76-22-6,4.85682,5.43149,0,9.56109,1,0.72721,,,,,
32-76-37-28,20-61-32-1,6.04211,24.3829,1.95166,27.745,1,0.72835,,,,,
1-6-76,6-33-21,24.7104,6.74195,3.32978,27.38799,1,0.73459,,,,,
37-93-18,22-1-76,4.69497,24.90116,0,28.86032,1,0.73581,,,,,
67-32-28-49,21-20-22-37,5.76475,7.43973,0,12.46114,1,0.74335,,,,,
33-21-37,32-28-22,6.28767,4.57824,0,10.11711,1,0.7488,,,,,
61-28-93-67,2-33-22-48,4.86268,6.12394,0,10.23532,1,0.7513,,,,,
6-49-28-15-1,33-6-37-67-2,26.45063,8.09602,3.32314,30.47044,1,0.75307,,,,,
49-32-6-20-48,49-61-76-37-22,8.88425,6.22308,1.23741,13.11585,1,0.75407,,,,,
1-21-49,22-49-37,24.76939,4.01423,1.23705,26.79234,1,0.75424,,,,,
8-21-28-6,33-20-37-15,8.90827,5.22942,0,13.38255,1,0.75513,,,,,
33-21-18-28,33-22-32-61,8.58668,5.26375,1.03165,12.06305,1,0.75573,,,,,
61-6-2-18-28,49-22-48-93-32,9.30514,7.21821,0,15.76347,1,0.75989,,,,,
61-48-2-28,21-76-32-28,6.75541,7.97496,1.53793,12.43159,1,0.76086,,,,,
33-93-67-18,76-2-48-20,5.11443,6.019,0,10.37226,1,0.76118,,,,,
20-67-1,48-37-1,24.07478,25.59452,22.79246,26.11287,1,0.76397,,,,,
8-48-61,18-93-67,5.02624,4.08315,0,8.34459,1,0.7648,,,,,
32-93-6,8-49-2,5.69203,5.03958,0,9.96657,1,0.76504,,,,,
93-61-37,2015/2/6,3.93163,6.06245,0,9.22887,1,0.76521,,,,,
61-21-2-48,93-28-49-32,8.65006,5.71136,0,13.59607,1,0.76535,,,,,
49-67-20,48-33-15,3.5751,4.26567,0,7.07488,1,0.76589,,,,,
1948/2/20,67-18-93,4.9515,4.08352,0,8.26793,1,0.76709,,,,,
67-93-33-15,22-18-76-48,4.42496,6.08725,0,9.74496,1,0.76726,,,,,
1-48-20,1-67-20,24.85414,24.07639,23.04662,25.11613,1,0.76778,,,,,
49-76-32-22-48,93-22-32-67-49,7.25038,6.38471,4.25229,8.61496,1,0.76785,,,,,
37-21-48-93,67-22-49-21,8.2238,7.34298,4.07118,10.72624,1,0.76936,,,,,
6-48-93-21-61,20-61-37-18-22,9.68241,7.16217,1.2167,14.85618,1,0.7717,,,,,
37-48-28-1-21,15-32-1-67-76,28.63394,26.19561,22.79131,31.2662,1,0.77205,,,,,
61-28-21-2,67-32-93-49,8.22764,5.28877,0,12.7443,1,0.77211,,,,,
32-93-67-8,93-6-22-2,5.88836,6.94557,1.03181,11.02595,1,0.77617,,,,,
32-93-15,6-67-21,4.23382,6.80561,0,10.26156,1,0.77787,,,,,
49-61-37-48-21,21-33-67-37-93,9.45207,8.42203,5.25492,11.83936,1,0.77982,,,,,
18-6-15-21,49-93-18-2,8.91184,6.21736,1.95084,12.3983,1,0.78007,,,,,
6-22-15-37-18,67-76-28-2-8,8.80824,7.51483,0,15.53977,1,0.7833,,,,,
20-2-49-48,18-28-67-15,6.16243,5.83382,0,11.21161,1,0.78463,,,,,
21-18-67,32-49-8,7.12577,4.96137,0,11.30241,1,0.78472,,,,,
22-48-28,1967/8/20,4.60327,4.18809,0,8.00412,1,0.78724,,,,,
1-15-22-76-67,37-18-61-48-1,26.99296,28.58053,22.78728,31.99857,1,0.78765,,,,,
67-2-76,33-48-15,4.20517,4.26536,0,7.68286,1,0.78767,,,,,
18-61-33-67,76-33-2-48,5.29807,6.09315,1.03204,9.56965,1,0.78953,,,,,
49-48-8-93,67-2-8-28,6.08439,6.43171,1.85072,9.87579,1,0.78959,,,,,
18-61-32,15-93-6,5.07893,5.60314,0,9.89201,1,0.79006,,,,,
93-28-67,76-48-6,3.64513,6.27999,0,9.13496,1,0.79017,,,,,
21-48-6-33,67-93-8-21,8.68701,7.90818,4.07728,11.72474,1,0.79317,,,,,
22-6-15-67,32-28-61-67,6.77864,5.73294,1.10051,10.61138,1,0.79969,,,,,
67-2-76-20,6-21-61-8,5.16267,8.37826,0,12.73506,1,0.80586,,,,,
6-93-76-8,61-33-15-2,7.06776,5.56603,0,11.82595,1,0.80785,,,,,
49-22-6,48-61-32,5.56609,5.07423,0,9.83071,1,0.80961,,,,,
61-67-8-37-18,48-32-67-1-8,7.74414,25.61089,2.95153,29.58937,1,0.81413,,,,,
37-28-21-6-93,1-21-28-22-61,9.31622,27.87232,5.59785,30.77455,1,0.81613,,,,,
32-6-93,1961/2/18,5.6896,5.22122,0,10.09419,1,0.81664,,,,,
6-28-15-8-93,67-2-33-61-15,8.83077,6.66672,1.26801,13.40853,1,0.82095,,,,,
28-2-48,67-76-8,5.51786,4.01651,0,8.71203,1,0.82234,,,,,
32-61-22,33-37-6,4.22775,5.52351,0,8.92468,1,0.82658,,,,,
20-28-22-2,21-76-6-32,5.62071,7.89151,0,12.685,1,0.82722,,,,,
2-15-20-22,21-61-49-6,5.35247,7.83645,0,12.35953,1,0.82939,,,,,
28-21-49-37-67,28-33-21-48-32,8.98441,9.90563,5.5984,12.4616,1,0.83004,,,,,
8-15-28-76-32,76-61-67-21-2,7.60464,8.81743,1.06906,14.52188,1,0.83113,,,,,
22-6-15-18-49,48-2-76-28-61,8.7708,7.78676,0,15.71639,1,0.84117,,,,,
48-93-20-8-49,28-33-20-67-37,7.3212,6.56716,1.23696,11.80725,1,0.84415,,,,,
15-2-67,2008/6/20,4.38689,6.21507,0,9.75684,1,0.84511,,,,,
6-67-15,76-33-48,5.66941,4.06391,0,8.88633,1,0.84699,,,,,
18-28-33-6-67,61-28-8-33-2,8.90873,7.62964,2.56887,13.09857,1,0.87092,,,,,
48-93-22-49,20-67-37-6,5.33629,6.76417,0,11.22542,1,0.87504,,,,,
49-32-18-6,28-61-2-48,7.75725,6.76212,0,13.63899,1,0.88038,,,,,
76-48-2-1-15,37-28-22-93-15,27.66346,6.62406,1.26995,32.1368,1,0.88077,,,,,
6-21-18-93,33-18-32-8,8.68146,6.73856,1.95073,12.58515,1,0.88413,,,,,
67-15-37-61-33,15-22-32-1-67,6.29167,26.28825,2.36981,29.32328,1,0.88683,,,,,
2021/1/18,21-67-49,26.40839,6.30571,4.08314,27.74395,1,0.88701,,,,,
1-20-33-32,15-18-33-37,24.35783,5.94883,1.03131,28.3837,1,0.89166,,,,,
48-18-93-76-28,6-37-67-33-18,7.55342,8.58939,1.95098,13.2961,1,0.89573,,,,,
61-22-32-76-49,37-8-48-76-21,6.45216,9.94086,1.06675,14.4298,1,0.89648,,,,,
33-61-93-8-67,21-48-61-22-20,6.22331,9.34458,1.21211,13.45662,1,0.89915,,,,,
2002/6/20,32-61-49,5.72142,4.33734,0,9.15864,1,0.90012,,,,,
76-49-6-8-22,49-22-2-8-32,8.28525,7.83723,4.18712,11.03247,1,0.90289,,,,,
6-48-8-1-2,21-22-6-15-18,26.95338,9.93301,3.31338,32.66796,1,0.90504,,,,,
49-48-28-18-33,6-67-28-32-20,7.72507,8.4298,1.53689,13.71095,1,0.90702,,,,,
61-93-49-2,6-15-33-37,5.50053,6.78492,0,11.3749,1,0.91055,,,,,
2008/2/22,1993/6/20,4.93002,5.53152,0,9.54969,1,0.91185,,,,,
6-20-22-37,61-93-49-32,6.77422,5.36377,0,11.22316,1,0.91484,,,,,
22-48-93-33,93-67-1-33,5.1297,25.82935,2.06373,27.97542,1,0.9199,,,,,
67-76-20-93-21,33-48-93-15-61,8.40779,6.50688,1.0319,12.95197,1,0.93081,,,,,
37-6-2-18-61,2-37-93-61-21,8.91412,8.86534,4.76424,12.07972,1,0.93551,,,,,
76-21-37-33-20,33-48-61-76-2,8.49455,7.26408,2.09962,12.7195,1,0.93951,,,,,
93-22-61-37-33,6-21-76-32-20,6.06679,9.04777,0,14.17227,1,0.94229,,,,,
1-15-37,93-15-49,24.85398,3.5312,1.26953,26.17269,1,0.94297,,,,,
93-37-48-21-28,8-76-67-18-28,9.74501,7.48108,1.53872,14.73864,1,0.94873,,,,,
1-93-76-67-20,18-76-93-49-33,26.08382,6.31995,2.09923,29.35467,1,0.94987,,,,,
8-18-1-15,76-37-33-28,26.24715,5.33155,0,30.62564,1,0.95307,,,,,
1-76-21-37,93-49-61-21,26.46837,7.37158,4.08155,28.79614,1,0.96225,,,,,
48-21-49-15-1,15-22-28-37-93,27.64391,6.62847,1.26892,32.03634,1,0.96711,,,,,
32-22-67-33,37-76-33-48,5.17558,5.75108,1.03175,8.92524,1,0.96968,,,,,
1-61-37,93-33-49,24.81323,3.30077,0,27.143,1,0.97101,,,,,
22-93-37-67-33,76-2-48-61-22,5.97517,7.35317,1.10044,11.24381,1,0.9841,,,,,
49-22-1-20,20-28-18-2,24.45098,6.47266,1.23733,28.70173,1,0.98458,,,,,
76-22-49,2002/1/28,3.40566,25.13757,0,27.55517,1,0.98807,,,,,
22-32-37-76,76-22-49-21,5.61641,7.28659,2.1707,9.74353,1,0.98877,,,,,
76-48-21-15-37,93-20-61-67-28,9.48457,6.09322,0,14.58854,1,0.98926,,,,,
61-37-1,49-22-76,24.80975,3.40429,0,27.22235,1,0.9917,,,,,
28-22-61-2,20-15-21-18,5.89878,8.45425,0,13.35899,1,0.99404,,,,,
1961/2/6,20-28-32,5.82484,4.70318,0,9.53296,1,0.99506,,,,,
61-28-93-67,6-48-20-21,4.85782,8.80683,0,12.66649,1,0.99816,,,,,
22-2-48-49,93-8-37-67,6.29354,5.65294,0,10.94717,1,0.99932,,,,,
37-21-15-22-20,61-22-93-2-48,8.69958,7.36268,1.10044,13.95964,1,1.00218,,,,,
33-18-49-20,22-8-49-1,5.45765,24.64287,1.23676,27.85829,1,1.00547,,,,,
18-67-1-76-61,18-93-20-61-76,27.78858,6.4497,4.18104,29.05092,1,1.00632,,,,,
21-49-18,2-32-33,7.17358,4.81962,0,10.98684,1,1.00636,,,,,
20-18-93,21-32-1,4.21939,24.77416,0,27.98704,1,1.00651,,,,,
1-33-61-28,20-61-18-93,26.18713,5.43153,1.2132,29.39791,1,1.00754,,,,,
67-37-8-18-15,48-32-22-33-61,7.82118,7.19689,0,14.01049,1,1.00759,,,,,
33-20-22,32-48-1,3.36881,24.91107,0,27.26883,1,1.01105,,,,,
32-48-76-2-15,6-15-1-61-32,8.02861,26.08693,3.21515,29.88884,1,1.01155,,,,,
37-6-21-48-8,2-33-15-20-61,10.36293,6.5278,0,15.87832,1,1.01241,,,,,
22-32-93-37,22-21-20-48,5.59575,8.21528,1.10049,11.69463,1,1.01592,,,,,
22-2-32,2006/8/22,4.88021,6.14441,1.10074,8.90622,1,1.01766,,,,,
67-18-49-32,2-76-48-93,6.21056,6.09916,0,11.28768,1,1.02203,,,,,
37-6-15-1-33,33-93-32-61-6,26.78267,7.72193,4.3821,29.09953,1,1.02296,,,,,
76-22-20,37-18-1,3.4036,25.73411,0,28.11033,1,1.02737,,,,,
48-32-37-61,15-48-21-28,6.55346,8.79322,1.96462,12.35065,1,1.03142,,,,,
37-2-76,8-6-67,4.6405,6.1365,0,9.74349,1,1.03351,,,,,
2-93-48-15,15-67-20-18,6.27757,5.55741,1.26905,9.52349,1,1.04244,,,,,
37-8-67-21,2-76-8-32,8.04747,6.61529,1.84983,11.76917,1,1.04376,,,,,
37-21-6-28-48,15-1-21-93-76,10.21165,27.53865,4.07802,32.62536,1,1.04691,,,,,
21-32-18-93-20,49-61-1-20-21,9.56572,26.05315,5.24242,29.32339,1,1.05306,,,,,
20-28-93-21,49-37-93-32,7.80304,5.67942,1.03161,11.39442,1,1.05643,,,,,
67-21-32,2-37-28,6.51244,5.09411,0,10.5488,1,1.05776,,,,,
1-37-32-2,33-93-37-20,25.09387,4.9894,1.70743,27.3111,1,1.06474,,,,,
49-37-22-32-61,21-76-61-2-49,6.89936,8.86275,2.44788,12.2402,1,1.07403,,,,,
37-1-6-49-2,32-93-33-6-18,26.01478,8.68583,3.33503,30.29065,1,1.07492,,,,,
28-61-18-6-33,22-33-8-32-37,8.83893,7.37781,1.03175,14.10902,1,1.07597,,,,,
76-20-32-61-22,28-32-76-1-18,6.46293,27.42123,3.0094,29.79631,1,1.07845,,,,,
1-2-22-8-33,2-22-49-15-8,26.3324,7.39744,4.93326,27.70984,1,1.08674,,,,,
32-67-37-93,2-21-18-33,5.60166,8.55899,0,13.07305,1,1.0876,,,,,
49-21-1-6-2,93-61-33-37-48,26.68172,6.91576,0,32.50644,1,1.09105,,,,,
28-76-32-2,6-49-8-18,6.38583,8.12254,0,13.41522,1,1.09314,,,,,
48-6-21-8-37,22-32-61-48-49,10.36636,7.36449,1.96532,14.66716,1,1.09837,,,,,
76-20-67,1-21-49,3.40474,24.76761,0,27.05946,1,1.11288,,,,,
1-76-93-6-32,18-2-67-76-93,26.02705,7.18562,2.09996,29.99864,1,1.11406,,,,,
1-48-32,61-49-48,24.91018,4.41097,1.96619,26.23974,1,1.11522,,,,,
20-1-76-8,18-33-2-76,24.49817,6.08101,1.0695,28.39211,1,1.11757,,,,,
8-33-6-49,37-32-76-20,7.21371,5.72347,0,11.81257,1,1.12461,,,,,
76-49-67-15-28,48-76-1-28-67,6.18499,27.22396,3.68287,28.60085,1,1.12522,,,,,
8-1-93-6,37-48-61-67,25.16249,5.19427,0,29.22966,1,1.1271,,,,,
2-28-49-37-67,48-22-76-32-61,7.35339,7.1871,0,13.40339,1,1.13711,,,,,
67-76-18-61-28,2-33-76-48-1,6.79731,27.60497,1.0682,32.19426,1,1.13982,,,,,
1-6-61-93-20,37-6-2-18-21,25.97676,10.04928,3.33354,31.53607,1,1.15643,,,,,
6-49-67-33-18,15-61-37-2-22,8.54114,7.12793,0,14.51034,1,1.15873,,,,,
67-49-33-2,21-20-1-49,5.36641,25.02644,1.23658,27.99536,1,1.16091,,,,,
32-93-20-1-67,49-76-15-67-93,25.38956,5.69647,2.13221,27.7731,1,1.18073,,,,,
37-1-48,22-15-20,25.59736,3.60536,0,28.02024,1,1.18249,,,,,
32-67-15-2-18,48-93-18-37-8,8.08862,8.45611,1.95088,13.41128,1,1.18258,,,,,
21-18-8-32-15,49-8-32-67-6,10.31769,8.60201,3.75544,13.97936,1,1.1849,,,,,
33-49-93-61,1-6-28-2,4.50928,26.06142,0,29.38449,1,1.1862,,,,,
20-1-48-37-21,22-33-2-37-15,27.52774,6.95556,1.71238,31.5682,1,1.20272,,,,,
22-1-76,2028/2/22,24.89659,4.66298,1.10038,27.2487,1,1.21049,,,,,
28-21-33-49-32,49-32-8-15-6,9.10898,8.75129,3.15398,13.49382,1,1.21246,,,,,
1-8-18-37,20-76-33-28,26.1793,4.87163,0,29.82114,1,1.22979,,,,,
1-2-33-18,20-15-18-33,26.73365,5.48833,2.98289,28.00797,1,1.23112,,,,,
20-76-32-67-8,18-48-93-8-2,7.12478,8.77253,1.84964,12.81569,1,1.23199,,,,,
61-1-49-93,22-2-28-61,25.12831,5.90345,1.21498,28.58344,1,1.23334,,,,,
32-15-48-6-33,49-61-8-67-33,8.87615,6.42249,1.03158,13.0327,1,1.23436,,,,,
28-61-37-15,93-20-1-21,5.69322,25.72495,0,30.17678,1,1.24138,,,,,
22-61-1-49,2-22-93-15,25.22051,5.41268,1.10059,28.28682,1,1.24579,,,,,
15-61-76-8-2,6-49-20-37-67,7.35133,7.89725,0,13.99923,1,1.24935,,,,,
61-49-37-1,33-18-15-2,25.12498,6.26557,0,30.13814,1,1.25241,,,,,
28-22-21-32-67,33-1-22-21-8,9.03949,26.94293,5.0977,29.62352,1,1.2612,,,,,
76-67-49-15,93-1-61-32,4.67212,25.12617,0,28.52922,1,1.26906,,,,,
32-18-37-22-8,20-2-67-21-48,8.29445,8.76136,0,15.77207,1,1.28374,,,,,
2-1-93-15,15-49-28-61,25.85099,5.25628,1.26843,28.55154,1,1.28731,,,,,
49-6-67-32-93,20-21-33-32-76,7.92838,8.64516,1.9461,13.33869,1,1.28874,,,,,
1949/1/18,15-2-76,25.04772,4.37064,0,28.1156,1,1.30276,,,,,
6-8-1-21-61,18-28-6-32-37,26.81985,9.27018,3.33467,31.4498,1,1.30557,,,,,
20-28-48,8-15-1,4.73973,24.3018,0,27.72802,1,1.31351,,,,,
21-8-1-33-6,37-32-28-18-6,26.83221,9.27086,3.32716,31.45755,1,1.31836,,,,,
28-67-48-49,1-93-15-21,5.0531,26.53119,0,30.2658,1,1.31848,,,,,
37-49-32,6-21-76,4.65262,6.72184,0,10.05583,1,1.31864,,,,,
37-61-8-2,61-1-37-2,6.5506,25.80789,4.78514,26.24702,1,1.32632,,,,,
1-48-21-37,2-22-18-61,27.26816,6.33031,0,32.26867,1,1.32979,,,,,
8-61-32-93-21,21-1-93-20-32,9.25191,26.03755,6.44472,27.50471,1,1.34003,,,,,
18-8-28-2-1,20-33-37-93-2,27.53272,6.58047,2.02188,30.74991,1,1.3414,,,,,
37-21-20-18,67-32-2-15,8.35935,6.13939,0,13.14871,1,1.35004,,,,,
48-8-6-49-61,2-61-67-22-15,9.12753,6.7286,1.21245,13.28631,1,1.35737,,,,,
21-49-48-33-15,2-33-93-76-67,9.44547,6.26852,1.03182,13.32168,1,1.36049,,,,,
48-20-2-32-76,48-37-21-22-6,7.72557,9.72295,1.96481,14.11615,1,1.36756,,,,,
32-76-28-15-20,6-33-21-32-1,7.01602,26.70166,1.9486,30.38988,1,1.37921,,,,,
49-48-2-93,28-67-6-22,6.22483,7.01447,0,11.85987,1,1.37943,,,,,
21-22-2-15,37-20-32-33,7.84807,5.70717,0,12.16911,1,1.38613,,,,,
18-61-21-48,2-8-32-37,9.10699,6.92284,0,14.6336,1,1.39623,,,,,
76-28-1,76-18-8,25.15275,4.86818,1.0688,27.55457,1,1.39755,,,,,
1-61-76-6-67,6-48-22-67-8,26.72949,8.41872,4.41897,29.32754,1,1.4017,,,,,
76-8-93-20-18,76-1-33-20-48,7.13465,26.87111,2.30464,30.27864,1,1.42247,,,,,
2015/1/2,15-93-8,24.85024,4.14491,1.26926,26.29713,1,1.42876,,,,,
28-1-49-61-15,8-28-22-61-33,26.55667,6.72883,2.75273,29.10078,1,1.43198,,,,,
61-2-18-21-48,32-76-67-15-61,10.59876,6.50116,1.21436,14.45185,1,1.43372,,,,,
8-37-1-28-21,8-49-21-48-2,27.26574,10.34692,5.78753,30.376,1,1.44913,,,,,
93-48-6-8-18,67-32-93-33-20,9.96931,6.33037,1.03193,13.80728,1,1.46048,,,,,
61-28-32-2-67,20-15-28-18-6,7.5907,9.2153,1.53722,13.8017,1,1.46707,,,,,
1-15-48,1976/8/18,25.66747,4.86752,0,29.06553,1,1.46946,,,,,
32-20-37-8,67-15-6-2,6.4362,7.16209,0,12.12646,1,1.47184,,,,,
93-15-20-2-37,6-18-93-2-1,6.79138,27.65985,3.0531,29.9225,1,1.47562,,,,,
22-67-32-28-76,6-48-61-20-8,6.71564,9.15978,0,14.3911,1,1.48432,,,,,
